 ==  = 
|    Run |             SelectedLS |     Recorded |             HLTpath |              L1bit |    Effective |
------------------------------------------------------------------------------------------------------------
| 165088 |              [107-266] |   4.027(/nb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |   4.027(/nb) |
| 165098 |  [124-187], [190-193], |  27.495(/nb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  27.495(/nb) |
|        |  [195-248], [250-254], |              |                     |                    |              |
|        |  [256-331], [333-367], |              |                     |                    |              |
|        |              [369-415] |              |                     |                    |              |
| 165099 |                [1-105] |   8.854(/nb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |   8.854(/nb) |
| 165102 |                [1-185] |  16.472(/nb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  16.472(/nb) |
| 165103 |                [1-107] |  46.515(/nb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  10.031(/nb) |
| 165120 |                [82-97] |  76.376(/nb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  76.376(/nb) |
| 165121 |                [1-466] |   2.050(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |   2.050(/pb) |
| 165205 |               [80-248] |   1.719(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |   1.719(/pb) |
| 165208 |                [1-101] | 947.587(/nb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) | 947.587(/nb) |
| 165364 |   [45-111], [114-147], |  18.325(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  18.325(/pb) |
|        | [160-807], [809-1220], |              |                     |                    |              |
|        |            [1260-1301] |              |                     |                    |              |
| 165402 |                 [1-28] | 416.093(/nb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) | 416.093(/nb) |
| 165415 |     [58-85], [88-640], |  19.462(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  19.462(/pb) |
|        |  [643-707], [712-777], |              |                     |                    |              |
|        |            [780-1356], |              |                     |                    |              |
|        |            [1360-1383] |              |                     |                    |              |
| 165467 |               [39-708] |  11.771(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  11.771(/pb) |
| 165472 |     [1-184], [186-882] |  12.975(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  12.975(/pb) |
| 165486 |               [37-102] |   1.402(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |   1.402(/pb) |
| 165487 |                [1-150] |   2.952(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |   2.952(/pb) |
| 165506 |               [54-169] |   1.916(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |   1.916(/pb) |
| 165514 |   [72-244], [246-270], |  10.722(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  10.722(/pb) |
|        |   [283-560], [562-566] |              |                     |                    |              |
| 165548 |    [1-363], [365-381], |   8.692(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |   8.692(/pb) |
|        |              [384-589] |              |                     |                    |              |
| 165558 |                 [1-62] | 817.620(/nb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) | 817.620(/nb) |
| 165567 |   [54-109], [114-309], |  11.998(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  11.983(/pb) |
|        |              [315-630] |              |                     |                    |              |
| 165570 |         [1-2], [5-83], |  16.280(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |  16.280(/pb) |
|        |   [88-207], [209-351], |              |                     |                    |              |
|        |   [355-942], [944-945] |              |                     |                    |              |
| 165617 |     [26-52], [54-143], |   5.962(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |   5.962(/pb) |
|        |              [145-288] |              |                     |                    |              |
| 165620 |                [14-19] | 126.889(/nb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) | 126.889(/nb) |
| 165633 |      [56-62], [64-64], |   9.666(/pb) | HLT_Photon125_v1(1) | "L1_SingleEG20"(1) |   9.666(/pb) |
|        |   [66-129], [133-317], |              |                     |                    |              |
|        |              [319-500] |              |                     |                    |              |
| 165970 |   [67-263], [266-329], |   6.407(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   6.407(/pb) |
|        |              [331-334] |              |                     |                    |              |
| 165993 |  [71-873], [879-1660], |  31.886(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  31.886(/pb) |
|        |            [1665-1697] |              |                     |                    |              |
| 166011 |        [1-81], [83-83] |   1.824(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   1.824(/pb) |
| 166033 |     [35-53], [59-330], |  29.218(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  29.218(/pb) |
|        |  [336-355], [360-444], |              |                     |                    |              |
|        |  [450-606], [613-707], |              |                     |                    |              |
|        |             [713-1233] |              |                     |                    |              |
| 166034 |    [1-109], [115-228], |   6.140(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   6.140(/pb) |
|        |              [234-307] |              |                     |                    |              |
| 166049 |     [53-86], [88-236], |  15.978(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  15.978(/pb) |
|        |              [242-674] |              |                     |                    |              |
| 166149 |                  [1-2] |   2.057(/nb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   2.057(/nb) |
| 166150 |      [1-99], [101-116] |   2.686(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   2.686(/pb) |
| 166161 |   [38-120], [122-123], |   2.036(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   2.036(/pb) |
|        |              [126-126] |              |                     |                    |              |
| 166163 |        [1-12], [14-33] | 618.589(/nb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) | 618.589(/nb) |
| 166164 |        [1-32], [34-40] | 779.210(/nb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) | 779.210(/nb) |
| 166346 |    [48-210], [212-215] |   4.263(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   4.263(/pb) |
| 166374 |      [46-64], [66-188] |   3.703(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   3.703(/pb) |
| 166380 |    [1-367], [373-711], |  35.286(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  35.286(/pb) |
|        |            [715-1400], |              |                     |                    |              |
|        |            [1406-1809] |              |                     |                    |              |
| 166408 |   [67-283], [291-947], |  27.660(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  27.660(/pb) |
|        |             [953-1236] |              |                     |                    |              |
| 166429 |                [33-89] |   1.385(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   1.385(/pb) |
| 166438 |     [32-85], [87-856], |  18.300(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  18.300(/pb) |
|        |              [858-865] |              |                     |                    |              |
| 166462 |   [78-102], [108-317], |   9.374(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   9.374(/pb) |
|        |              [323-526] |              |                     |                    |              |
| 166486 |      [54-75], [80-95], |   2.310(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   2.310(/pb) |
|        |               [97-174] |              |                     |                    |              |
| 166502 |      [43-78], [83-109] |   1.419(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   1.419(/pb) |
| 166512 |   [42-430], [432-487], |  37.882(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  37.882(/pb) |
|        | [491-605], [611-1279], |              |                     |                    |              |
