 ==  = 
|    Run |             SelectedLS |     Recorded |                HLTpath |              L1bit |    Effective |
---------------------------------------------------------------------------------------------------------------
| 165088 |              [107-266] |   4.027(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   4.027(/nb) |
|        |                        |              |             IsoL_v1(1) |                    |              |
| 165088 |              [107-266] |   4.027(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   4.027(/nb) |
|        |                        |              |                  v1(1) |                    |              |
| 165098 |  [124-187], [190-193], |  27.495(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  27.495(/nb) |
|        |  [195-248], [250-254], |              |             IsoL_v1(1) |                    |              |
|        |  [256-331], [333-367], |              |                        |                    |              |
|        |              [369-415] |              |                        |                    |              |
| 165098 |  [124-187], [190-193], |  27.495(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  27.495(/nb) |
|        |  [195-248], [250-254], |              |                  v1(1) |                    |              |
|        |  [256-331], [333-367], |              |                        |                    |              |
|        |              [369-415] |              |                        |                    |              |
| 165099 |                [1-105] |   8.854(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   8.854(/nb) |
|        |                        |              |             IsoL_v1(1) |                    |              |
| 165099 |                [1-105] |   8.854(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   8.854(/nb) |
|        |                        |              |                  v1(1) |                    |              |
| 165102 |                [1-185] |  16.472(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  16.472(/nb) |
|        |                        |              |          IsoL_v1(1,10) |                    |              |
| 165102 |                [1-185] |  16.472(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  16.133(/nb) |
|        |                        |              |               v1(1,10) |                    |              |
| 165103 |                [1-107] |  46.515(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  10.031(/nb) |
|        |                        |              |          IsoL_v1(1,10) |                    |              |
| 165103 |                [1-107] |  46.515(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  10.031(/nb) |
|        |                        |              |               v1(1,10) |                    |              |
| 165120 |                [82-97] |  76.376(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  76.376(/nb) |
|        |                        |              |          IsoL_v1(1,10) |                    |              |
| 165120 |                [82-97] |  76.376(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  76.376(/nb) |
|        |                        |              |               v1(1,10) |                    |              |
| 165121 |                [1-466] |   2.050(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.050(/pb) |
|        |                        |              |          IsoL_v1(1,10) |                    |              |
| 165121 |                [1-466] |   2.050(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.050(/pb) |
|        |                        |              |               v1(1,10) |                    |              |
| 165205 |               [80-248] |   1.719(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.719(/pb) |
|        |                        |              |        IsoL_v1(1,10,2) |                    |              |
| 165205 |               [80-248] |   1.719(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 859.333(/nb) |
|        |                        |              |             v1(1,10,2) |                    |              |
| 165208 |                [1-101] | 947.587(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 947.587(/nb) |
|        |                        |              |        IsoL_v1(1,10,2) |                    |              |
| 165208 |                [1-101] | 947.587(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 473.793(/nb) |
|        |                        |              |             v1(1,10,2) |                    |              |
| 165364 |   [45-111], [114-147], |  18.325(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  18.325(/pb) |
|        | [160-807], [809-1220], |              |      IsoL_v1(1,10,3,2) |                    |              |
|        |            [1260-1301] |              |                        |                    |              |
| 165364 |   [45-111], [114-147], |  18.325(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   6.390(/pb) |
|        | [160-807], [809-1220], |              |           v1(1,10,3,2) |                    |              |
|        |            [1260-1301] |              |                        |                    |              |
| 165402 |                 [1-28] | 416.093(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 416.093(/nb) |
|        |                        |              |      IsoL_v1(1,10,3,2) |                    |              |
| 165402 |                 [1-28] | 416.093(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 138.698(/nb) |
|        |                        |              |           v1(1,10,3,2) |                    |              |
| 165415 |     [58-85], [88-640], |  19.462(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  19.462(/pb) |
|        |  [643-707], [712-777], |              |      IsoL_v1(1,10,3,2) |                    |              |
|        |            [780-1356], |              |                        |                    |              |
|        |            [1360-1383] |              |                        |                    |              |
| 165415 |     [58-85], [88-640], |  19.462(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   7.768(/pb) |
|        |  [643-707], [712-777], |              |           v1(1,10,3,2) |                    |              |
|        |            [780-1356], |              |                        |                    |              |
|        |            [1360-1383] |              |                        |                    |              |
| 165467 |               [39-708] |  11.771(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  11.771(/pb) |
|        |                        |              |    IsoL_v1(1,10,3,2,5) |                    |              |
