 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
--------------------------------------------------------------------------------
| 170249 |          541 |   6.821 (/pb) |  [37-103], [112-507] |   6.070 (/pb) |
| 170255 |          410 |   4.733 (/pb) |              [1-387] |   4.574 (/pb) |
| 170286 |          270 |   3.767 (/pb) |             [77-261] |   2.812 (/pb) |
| 170292 |          278 |   3.944 (/pb) |              [1-259] |   3.607 (/pb) |
| 170298 |          198 |   2.629 (/pb) |   [1-179], [181-181] |   2.328 (/pb) |
| 170303 |           32 | 411.032 (/nb) |               [1-21] | 232.980 (/nb) |
| 170304 |          149 |   1.884 (/pb) |              [1-114] |   1.396 (/pb) |
| 170307 |           26 | 128.065 (/nb) |               [1-14] | 103.556 (/nb) |
| 170348 |          262 |   6.105 (/pb) |             [58-255] |   5.132 (/pb) |
| 170354 |          317 |   7.332 (/pb) |              [1-308] |   7.155 (/pb) |
| 170376 |           74 |   1.064 (/pb) |              [52-58] | 152.737 (/nb) |
| 170378 |           15 | 368.664 (/nb) |                [1-3] |   3.638 (/nb) |
| 170380 |           29 | 702.945 (/nb) |                [1-3] |   4.635 (/nb) |
| 170382 |          320 |   7.241 (/pb) |              [1-305] |   6.766 (/pb) |
| 170397 |          364 |   7.272 (/pb) |              [1-346] |   6.763 (/pb) |
| 170406 |          181 |   3.063 (/pb) |              [1-171] |   2.991 (/pb) |
| 170452 |          119 |   1.927 (/pb) |             [72-110] | 930.437 (/nb) |
| 170527 |           97 |   2.455 (/pb) |              [44-92] |   1.468 (/pb) |
| 170722 |          294 |   5.751 (/pb) |            [110-287] |   5.152 (/pb) |
| 170759 |          400 |  10.822 (/pb) |  [49-224], [228-377] |   9.643 (/pb) |
| 170826 |          331 |   8.506 (/pb) |             [50-311] |   7.297 (/pb) |
| 170842 |          350 |   8.636 (/pb) |              [1-331] |   8.061 (/pb) |
| 170854 |          659 |  13.659 (/pb) |  [1-543], [545-569], |  11.749 (/pb) |
|        |              |               |            [577-578] |               |
| 170876 |          520 |   9.026 (/pb) |  [1-241], [250-358], |   8.626 (/pb) |
|        |              |               | [367-516], [518-518] |               |
| 170896 |          212 |   3.397 (/pb) |              [1-212] |   3.333 (/pb) |
| 170899 |           84 |   1.283 (/pb) |               [1-84] |   1.267 (/pb) |
| 170901 |          228 |   2.771 (/pb) |     [1-54], [63-200] |   2.616 (/pb) |
| 171050 |          666 |  19.660 (/pb) |  [47-369], [371-648] |  18.165 (/pb) |
| 171091 |          147 |   3.787 (/pb) |              [1-135] |   3.346 (/pb) |
| 171098 |           32 | 803.963 (/nb) |                [1-9] |  90.585 (/nb) |
| 171102 |           34 | 844.794 (/nb) |               [1-20] | 419.904 (/nb) |
