 ==  = 
|    Run:Fill | Delivered LS |     Delivered |          Selected LS |      Recorded |
-------------------------------------------------------------------------------------
| 175832:2083 |          154 |   1.615 (/pb) |             [43-139] |   1.212 (/pb) |
| 175833:2083 |           20 | 243.757 (/nb) |                [1-3] |   1.865 (/nb) |
| 175834:2083 |          430 |   4.621 (/pb) |     [1-16], [19-29], |   3.788 (/pb) |
|             |              |               |    [32-42], [45-55], |               |
|             |              |               |    [57-68], [70-81], |               |
|             |              |               |   [83-94], [96-107], |               |
|             |              |               |           [109-119], |               |
|             |              |               |           [122-132], |               |
|             |              |               |           [135-145], |               |
|             |              |               |           [148-148], |               |
|             |              |               |           [152-170], |               |
|             |              |               |           [172-191], |               |
|             |              |               |           [198-213], |               |
|             |              |               |           [215-225], |               |
|             |              |               |           [230-266], |               |
|             |              |               |           [269-288], |               |
|             |              |               |           [290-301], |               |
|             |              |               |           [303-314], |               |
|             |              |               |           [316-327], |               |
|             |              |               |           [329-339], |               |
|             |              |               | [342-414], [417-423] |               |
| 175835:2083 |          174 |   1.626 (/pb) |   [1-120], [122-165] |   1.476 (/pb) |
| 175837:2083 |          190 |   1.592 (/pb) |              [1-168] |   1.451 (/pb) |
| 175857:2085 |           56 |   1.081 (/pb) |              [24-47] | 454.417 (/nb) |
| 175858:2085 |           33 | 618.741 (/nb) |               [1-21] | 335.278 (/nb) |
| 175860:2085 |           88 |   1.601 (/pb) |               [1-82] |   1.418 (/pb) |
| 175863:2085 |           87 |   1.495 (/pb) |               [1-75] |   1.228 (/pb) |
| 175865:2085 |           70 |   1.154 (/pb) |               [1-58] | 902.108 (/nb) |
| 175866:2085 |          551 |   7.775 (/pb) |              [1-512] |   7.416 (/pb) |
| 175872:2086 |           97 |   2.408 (/pb) |              [60-90] |   1.321 (/pb) |
| 175873:2086 |           37 |   1.669 (/pb) |               [1-32] |   1.282 (/pb) |
| 175874:2086 |          118 |   5.047 (/pb) |              [1-108] |   4.362 (/pb) |
| 175875:2086 |          177 |   7.083 (/pb) |              [1-158] |   5.951 (/pb) |
| 175877:2086 |           73 |   2.753 (/pb) |               [1-69] |   2.461 (/pb) |
| 175881:2086 |          170 |   5.989 (/pb) |              [1-160] |   5.424 (/pb) |
| 175886:2086 |          304 |   9.685 (/pb) |              [1-280] |   8.652 (/pb) |
| 175887:2086 |          149 |   4.389 (/pb) |              [1-138] |   3.914 (/pb) |
| 175888:2086 |          459 |  11.763 (/pb) |              [1-424] |  11.238 (/pb) |
| 175906:2090 |          208 |   9.118 (/pb) |             [79-191] |   5.730 (/pb) |
| 175910:2090 |           38 | 442.046 (/nb) |               [1-12] | 279.872 (/nb) |
| 175921:2091 |          453 |  21.390 (/pb) |             [64-428] |  19.745 (/pb) |
| 175971:2092 |           97 |   4.368 (/pb) |              [44-88] |   2.907 (/pb) |
| 175973:2092 |          275 |  16.898 (/pb) |              [1-268] |  16.058 (/pb) |
| 175974:2092 |          130 |   7.221 (/pb) |              [1-124] |   6.682 (/pb) |
| 175975:2092 |          396 |  19.676 (/pb) |      [1-8], [11-40], |  17.652 (/pb) |
|             |              |               | [45-142], [145-164], |               |
|             |              |               |           [167-180], |               |
|             |              |               |           [185-210], |               |
|             |              |               |           [215-256], |               |
|             |              |               |           [259-262], |               |
|             |              |               | [265-272], [275-390] |               |
| 175976:2092 |          132 |   4.388 (/pb) |              [1-102] |   4.219 (/pb) |
| 175990:2093 |          169 |   7.236 (/pb) |             [56-164] |   6.354 (/pb) |
| 176023:2094 |          140 |   6.475 (/pb) |             [44-129] |   5.520 (/pb) |
| 176161:2101 |           36 |   2.410 (/pb) |               [1-23] |   1.246 (/pb) |
| 176163:2101 |          102 |   6.533 (/pb) |               [1-63] |   3.737 (/pb) |
| 176165:2101 |           94 |   5.824 (/pb) |               [1-29] |   1.577 (/pb) |
| 176166:2101 |           50 |   2.997 (/pb) |               [1-36] |   1.931 (/pb) |
| 176167:2101 |           13 | 767.726 (/nb) |                [1-5] | 112.736 (/nb) |
| 176169:2101 |          145 |   7.518 (/pb) |              [1-140] |   7.223 (/pb) |
| 176201:2103 |          664 |  39.601 (/pb) | [50-132], [134-139], |  32.740 (/pb) |
|             |              |               |           [141-141], |               |
|             |              |               |           [143-143], |               |
|             |              |               |           [146-146], |               |
|             |              |               |           [194-198], |               |
|             |              |               |           [200-201], |               |
|             |              |               |           [203-203], |               |
|             |              |               |           [207-207], |               |
|             |              |               | [213-213], [218-656] |               |
| 176202:2103 |          270 |  14.011 (/pb) |              [1-264] |  13.377 (/pb) |
| 176206:2103 |          107 |   5.119 (/pb) |              [1-101] |   4.350 (/pb) |
| 176207:2103 |          245 |  10.231 (/pb) |              [1-230] |  10.023 (/pb) |
| 176286:2104 |          496 |  29.460 (/pb) |             [55-486] |  26.954 (/pb) |
| 176289:2104 |           82 |   3.857 (/pb) |               [1-75] |   3.689 (/pb) |
| 176304:2105 |          617 |  36.448 (/pb) | [69-161], [163-164], |  25.113 (/pb) |
|             |              |               |           [166-166], |               |
|             |              |               |           [168-171], |               |
|             |              |               |           [174-174], |               |
|             |              |               |           [176-179], |               |
|             |              |               |           [181-182], |               |
|             |              |               |           [184-185], |               |
|             |              |               |           [187-190], |               |
|             |              |               |           [192-193], |               |
|             |              |               |           [197-202], |               |
|             |              |               |           [204-206], |               |
|             |              |               |           [208-211], |               |
|             |              |               |           [213-213], |               |
|             |              |               |           [216-218], |               |
|             |              |               |           [221-229], |               |
|             |              |               |           [231-231], |               |
|             |              |               |           [233-235], |               |
|             |              |               |           [238-240], |               |
|             |              |               |           [243-247], |               |
|             |              |               |           [249-249], |               |
|             |              |               |           [251-253], |               |
|             |              |               |           [256-264], |               |
|             |              |               |           [266-285], |               |
|             |              |               |           [287-287], |               |
|             |              |               |           [289-289], |               |
|             |              |               |           [291-293], |               |
|             |              |               |           [295-299], |               |
|             |              |               |           [301-301], |               |
|             |              |               |           [303-304], |               |
|             |              |               |           [307-312], |               |
|             |              |               |           [315-316], |               |
|             |              |               |           [318-319], |               |
|             |              |               |           [323-330], |               |
|             |              |               |           [332-349], |               |
|             |              |               |           [351-373], |               |
|             |              |               |           [375-379], |               |
|             |              |               |           [381-387], |               |
|             |              |               |           [389-395], |               |
|             |              |               |           [397-415], |               |
|             |              |               |           [417-431], |               |
|             |              |               |           [433-433], |               |
|             |              |               |           [435-438], |               |
|             |              |               |           [440-443], |               |
|             |              |               |           [445-446], |               |
|             |              |               |           [448-451], |               |
|             |              |               |           [453-456], |               |
|             |              |               |           [458-500], |               |
|             |              |               |           [502-502], |               |
|             |              |               |           [504-555], |               |
|             |              |               |           [558-563], |               |
|             |              |               |           [566-567], |               |
|             |              |               |           [569-569], |               |
|             |              |               | [572-573], [575-598] |               |
| 176308:2105 |          307 |  16.491 (/pb) |              [1-293] |  15.425 (/pb) |
| 176309:2105 |         1714 |  64.833 (/pb) |  [1-354], [356-1641] |  61.837 (/pb) |
| 176461:2110 |          161 |   8.599 (/pb) |             [61-151] |   0.000 (/ub) |
| 176463:2110 |           39 |   2.698 (/pb) |               [1-19] |   0.000 (/ub) |
| 176464:2110 |           80 |   5.358 (/pb) |               [1-72] |   0.000 (/ub) |
| 176465:2110 |           18 |   1.167 (/pb) |               [1-14] |   0.000 (/ub) |
| 176466:2110 |          110 |   6.902 (/pb) |              [1-100] | 775.670 (/nb) |
| 176467:2110 |          176 |  10.299 (/pb) |              [1-164] |   9.293 (/pb) |
| 176468:2110 |          217 |  11.863 (/pb) |              [1-210] |  11.110 (/pb) |
| 176469:2110 |          204 |  10.317 (/pb) |                [1-5] | 122.784 (/nb) |
| 176470:2110 |           64 | 125.088 (/nb) |                [1-8] |  31.417 (/nb) |
| 176545:2117 |           31 |   2.118 (/pb) |                [5-5] |  16.545 (/nb) |
| 176547:2117 |          194 |  12.677 (/pb) |              [1-184] |  11.564 (/pb) |
| 176548:2117 |         1034 |  52.789 (/pb) |  [1-575], [577-1024] |  51.087 (/pb) |
| 176697:2124 |          346 |  21.945 (/pb) |             [50-344] |  19.836 (/pb) |
| 176701:2124 |          153 |   9.191 (/pb) |              [1-145] |   8.404 (/pb) |
| 176702:2124 |          962 |  46.231 (/pb) |              [1-948] |  45.037 (/pb) |
| 176765:2126 |          146 |   5.660 (/pb) |             [84-141] |   2.735 (/pb) |
| 176771:2127 |          177 |   8.317 (/pb) |             [57-156] |   5.817 (/pb) |
| 176795:2129 |          113 |   7.317 (/pb) |             [38-105] |   4.358 (/pb) |
| 176796:2129 |          114 |   7.717 (/pb) |              [1-102] |   6.482 (/pb) |
| 176797:2129 |          274 |  16.400 (/pb) |              [1-252] |  14.655 (/pb) |
| 176799:2129 |          246 |  12.698 (/pb) |              [1-238] |  11.532 (/pb) |
| 176801:2129 |          303 |  13.316 (/pb) |              [1-291] |  12.488 (/pb) |
| 176805:2129 |          113 |   4.666 (/pb) |              [1-103] |   3.838 (/pb) |
| 176807:2129 |          466 |  17.288 (/pb) |              [1-461] |  16.987 (/pb) |
| 176841:2135 |          256 |  13.107 (/pb) |   [43-84], [86-157], |   9.071 (/pb) |
|             |              |               | [159-182], [184-241] |               |
