 ==  = 
|    Run |             SelectedLS |     Recorded |                HLTpath |            L1bit |    Effective |
-------------------------------------------------------------------------------------------------------------
| 165088 |              [107-266] |   4.027(/nb) |       HLT_HT150_v4(10) |    "L1_HTT50"(1) |   5.753(/ub) |
| 165088 |              [107-266] |   4.027(/nb) |       HLT_HT200_v4(10) |    "L1_HTT75"(1) |  50.341(/ub) |
| 165088 |              [107-266] |   4.027(/nb) |       HLT_HT250_v4(10) |   "L1_HTT100"(1) | 134.242(/ub) |
| 165088 |              [107-266] |   4.027(/nb) |       HLT_HT300_v5(10) |   "L1_HTT100"(1) | 201.362(/ub) |
| 165088 |              [107-266] |   4.027(/nb) |       HLT_HT350_v4(10) |   "L1_HTT100"(1) | 402.725(/ub) |
| 165088 |              [107-266] |   4.027(/nb) |       HLT_HT400_v4(10) |   "L1_HTT100"(1) | 805.449(/ub) |
| 165088 |              [107-266] |   4.027(/nb) |       HLT_HT450_v4(10) |   "L1_HTT100"(1) | 805.449(/ub) |
| 165088 |              [107-266] |   4.027(/nb) |       HLT_HT500_v4(10) |   "L1_HTT100"(1) |   4.027(/nb) |
| 165088 |              [107-266] |   4.027(/nb) |       HLT_HT550_v4(10) |   "L1_HTT100"(1) |   4.027(/nb) |
| 165098 |  [124-187], [190-193], |  27.495(/nb) |       HLT_HT150_v4(10) |    "L1_HTT50"(1) |  39.278(/ub) |
|        |  [195-248], [250-254], |              |                        |                  |              |
|        |  [256-331], [333-367], |              |                        |                  |              |
|        |              [369-415] |              |                        |                  |              |
| 165098 |  [124-187], [190-193], |  27.495(/nb) |       HLT_HT200_v4(10) |    "L1_HTT75"(1) | 343.684(/ub) |
|        |  [195-248], [250-254], |              |                        |                  |              |
|        |  [256-331], [333-367], |              |                        |                  |              |
|        |              [369-415] |              |                        |                  |              |
| 165098 |  [124-187], [190-193], |  27.495(/nb) |       HLT_HT250_v4(10) |   "L1_HTT100"(1) | 916.491(/ub) |
|        |  [195-248], [250-254], |              |                        |                  |              |
