 ==  = 
|    Run |            SelectedLS |     Recorded |                HLTpath |                  L1bit |    Effective |
------------------------------------------------------------------------------------------------------------------
| 170722 |             [110-287] |   5.284(/pb) | HLT_HT150_v8(1440,720, |       "L1_HTT50"(1,10) | 257.848(/ub) |
|        |                       |              |                  1010) |                        |              |
| 170722 |             [110-287] |   5.284(/pb) | HLT_HT200_v8(1440,720, |          "L1_HTT75"(1) |   6.410(/nb) |
|        |                       |              |                  1010) |                        |              |
| 170722 |             [110-287] |   5.284(/pb) | HLT_HT250_v8(1440,720, |         "L1_HTT100"(1) |  15.875(/nb) |
|        |                       |              |                  1010) |                        |              |
| 170722 |             [110-287] |   5.284(/pb) | HLT_HT300_v9(1440,720, |         "L1_HTT100"(1) |  30.785(/nb) |
|        |                       |              |                  1010) |                        |              |
| 170722 |             [110-287] |   5.284(/pb) | HLT_HT350_v8(1440,720, |         "L1_HTT100"(1) |  46.178(/nb) |
|        |                       |              |                  1010) |                        |              |
| 170722 |             [110-287] |   5.284(/pb) | HLT_HT400_v8(1440,720, |         "L1_HTT100"(1) |  92.356(/nb) |
|        |                       |              |                  1010) |                        |              |
| 170722 |             [110-287] |   5.284(/pb) | HLT_HT450_v8(1440,720, |         "L1_HTT100"(1) | 312.681(/nb) |
|        |                       |              |                  1010) |                        |              |
| 170722 |             [110-287] |   5.284(/pb) | HLT_HT500_v8(1440,720, |         "L1_HTT100"(1) | 923.559(/nb) |
|        |                       |              |                  1010) |                        |              |
| 170722 |             [110-287] |   5.284(/pb) | HLT_HT550_v8(1440,720, |         "L1_HTT100"(1) |   5.284(/pb) |
|        |                       |              |                  1010) |                        |              |
| 170722 |             [110-287] |   5.284(/pb) | HLT_HT600_v1(1440,720, |         "L1_HTT100"(1) |   5.284(/pb) |
|        |                       |              |                  1010) |                        |              |
| 170826 |  [50-122], [139-243], |   6.651(/pb) | HLT_HT150_v8(1440,720, |       "L1_HTT50"(1,10) | 371.561(/ub) |
|        |  [248-279], [281-308] |              |                  1010) |                        |              |
| 170826 |  [50-122], [139-243], |   6.651(/pb) | HLT_HT200_v8(1440,720, |          "L1_HTT75"(1) |   9.237(/nb) |
|        |  [248-279], [281-308] |              |                  1010) |                        |              |
| 170826 |  [50-122], [139-243], |   6.651(/pb) | HLT_HT250_v8(1440,720, |         "L1_HTT100"(1) |  22.934(/nb) |
|        |  [248-279], [281-308] |              |                  1010) |                        |              |
| 170826 |  [50-122], [139-243], |   6.651(/pb) | HLT_HT300_v9(1440,720, |         "L1_HTT100"(1) |  44.340(/nb) |
|        |  [248-279], [281-308] |              |                  1010) |                        |              |
| 170826 |  [50-122], [139-243], |   6.651(/pb) | HLT_HT350_v8(1440,720, |         "L1_HTT100"(1) |  66.510(/nb) |
|        |  [248-279], [281-308] |              |                  1010) |                        |              |
| 170826 |  [50-122], [139-243], |   6.651(/pb) | HLT_HT400_v8(1440,720, |         "L1_HTT100"(1) | 133.019(/nb) |
|        |  [248-279], [281-308] |              |                  1010) |                        |              |
| 170826 |  [50-122], [139-243], |   6.651(/pb) | HLT_HT450_v8(1440,720, |         "L1_HTT100"(1) | 443.397(/nb) |
|        |  [248-279], [281-308] |              |                  1010) |                        |              |
| 170826 |  [50-122], [139-243], |   6.651(/pb) | HLT_HT500_v8(1440,720, |         "L1_HTT100"(1) |   1.330(/pb) |
|        |  [248-279], [281-308] |              |                  1010) |                        |              |
| 170826 |  [50-122], [139-243], |   6.651(/pb) | HLT_HT550_v8(1440,720, |         "L1_HTT100"(1) |   6.651(/pb) |
|        |  [248-279], [281-308] |              |                  1010) |                        |              |
| 170826 |  [50-122], [139-243], |   6.651(/pb) | HLT_HT600_v1(1440,720, |         "L1_HTT100"(1) |   6.651(/pb) |
|        |  [248-279], [281-308] |              |                  1010) |                        |              |
