 ==  = 
|    Run |             SelectedLS |     Recorded |                HLTpath |                  L1bit |    Effective |
-------------------------------------------------------------------------------------------------------------------
| 172620 |      [1-17], [33-127], |   8.264(/pb) |      HLT_HT150_v8(720) |          "L1_HTT50"(1) | 461.654(/ub) |
|        |              [163-495] |              |                        |                        |              |
| 172620 |      [1-17], [33-127], |   8.264(/pb) |      HLT_HT200_v8(720) |          "L1_HTT75"(1) |  11.477(/nb) |
|        |              [163-495] |              |                        |                        |              |
| 172620 |      [1-17], [33-127], |   8.264(/pb) |      HLT_HT250_v8(720) |         "L1_HTT100"(1) |  28.495(/nb) |
|        |              [163-495] |              |                        |                        |              |
| 172620 |      [1-17], [33-127], |   8.264(/pb) |      HLT_HT300_v9(720) |         "L1_HTT100"(1) |  55.091(/nb) |
|        |              [163-495] |              |                        |                        |              |
| 172620 |      [1-17], [33-127], |   8.264(/pb) |      HLT_HT350_v8(720) |         "L1_HTT100"(1) |  82.636(/nb) |
|        |              [163-495] |              |                        |                        |              |
| 172620 |      [1-17], [33-127], |   8.264(/pb) |      HLT_HT400_v8(720) |         "L1_HTT100"(1) | 165.272(/nb) |
|        |              [163-495] |              |                        |                        |              |
| 172620 |      [1-17], [33-127], |   8.264(/pb) |      HLT_HT450_v8(720) |         "L1_HTT100"(1) | 550.908(/nb) |
|        |              [163-495] |              |                        |                        |              |
| 172620 |      [1-17], [33-127], |   8.264(/pb) |      HLT_HT500_v8(720) |         "L1_HTT100"(1) |   1.653(/pb) |
|        |              [163-495] |              |                        |                        |              |
| 172620 |      [1-17], [33-127], |   8.264(/pb) |      HLT_HT550_v8(720) |         "L1_HTT100"(1) |   8.264(/pb) |
|        |              [163-495] |              |                        |                        |              |
| 172620 |      [1-17], [33-127], |   8.264(/pb) |      HLT_HT600_v1(720) |         "L1_HTT100"(1) |   8.264(/pb) |
|        |              [163-495] |              |                        |                        |              |
| 172630 |     [36-64], [68-134], |   5.114(/pb) | HLT_HT150_v8(720,1440) |       "L1_HTT50"(1,10) | 142.847(/ub) |
|        |              [139-160] |              |                        |                        |              |
| 172630 |     [36-64], [68-134], |   5.114(/pb) | HLT_HT200_v8(720,1440) |          "L1_HTT75"(1) |   3.551(/nb) |
|        |              [139-160] |              |                        |                        |              |
| 172630 |     [36-64], [68-134], |   5.114(/pb) | HLT_HT250_v8(720,1440) |         "L1_HTT100"(1) |   8.817(/nb) |
|        |              [139-160] |              |                        |                        |              |
| 172630 |     [36-64], [68-134], |   5.114(/pb) | HLT_HT300_v9(720,1440) |         "L1_HTT100"(1) |  17.046(/nb) |
|        |              [139-160] |              |                        |                        |              |
| 172630 |     [36-64], [68-134], |   5.114(/pb) | HLT_HT350_v8(720,1440) |         "L1_HTT100"(1) |  25.570(/nb) |
|        |              [139-160] |              |                        |                        |              |
| 172630 |     [36-64], [68-134], |   5.114(/pb) | HLT_HT400_v8(720,1440) |         "L1_HTT100"(1) |  51.139(/nb) |
|        |              [139-160] |              |                        |                        |              |
| 172630 |     [36-64], [68-134], |   5.114(/pb) | HLT_HT450_v8(720,1440) |         "L1_HTT100"(1) | 170.464(/nb) |
|        |              [139-160] |              |                        |                        |              |
| 172630 |     [36-64], [68-134], |   5.114(/pb) | HLT_HT500_v8(720,1440) |         "L1_HTT100"(1) | 511.391(/nb) |
|        |              [139-160] |              |                        |                        |              |
| 172630 |     [36-64], [68-134], |   5.114(/pb) | HLT_HT550_v8(720,1440) |         "L1_HTT100"(1) |   5.114(/pb) |
|        |              [139-160] |              |                        |                        |              |
| 172630 |     [36-64], [68-134], |   5.114(/pb) | HLT_HT600_v1(720,1440) |         "L1_HTT100"(1) |   5.114(/pb) |
|        |              [139-160] |              |                        |                        |              |
| 172635 |       [1-18], [24-70], |   9.486(/pb) | HLT_HT150_v8(720,1440) |       "L1_HTT50"(1,10) | 264.971(/ub) |
|        |   [83-170], [175-176], |              |                        |                        |              |
|        |              [179-268] |              |                        |                        |              |
| 172635 |       [1-18], [24-70], |   9.486(/pb) | HLT_HT200_v8(720,1440) |          "L1_HTT75"(1) |   6.587(/nb) |
|        |   [83-170], [175-176], |              |                        |                        |              |
|        |              [179-268] |              |                        |                        |              |
| 172635 |       [1-18], [24-70], |   9.486(/pb) | HLT_HT250_v8(720,1440) |         "L1_HTT100"(1) |  16.355(/nb) |
|        |   [83-170], [175-176], |              |                        |                        |              |
|        |              [179-268] |              |                        |                        |              |
| 172635 |       [1-18], [24-70], |   9.486(/pb) | HLT_HT300_v9(720,1440) |         "L1_HTT100"(1) |  31.620(/nb) |
|        |   [83-170], [175-176], |              |                        |                        |              |
|        |              [179-268] |              |                        |                        |              |
| 172635 |       [1-18], [24-70], |   9.486(/pb) | HLT_HT350_v8(720,1440) |         "L1_HTT100"(1) |  47.430(/nb) |
|        |   [83-170], [175-176], |              |                        |                        |              |
|        |              [179-268] |              |                        |                        |              |
| 172635 |       [1-18], [24-70], |   9.486(/pb) | HLT_HT400_v8(720,1440) |         "L1_HTT100"(1) |  94.860(/nb) |
|        |   [83-170], [175-176], |              |                        |                        |              |
|        |              [179-268] |              |                        |                        |              |
| 172635 |       [1-18], [24-70], |   9.486(/pb) | HLT_HT450_v8(720,1440) |         "L1_HTT100"(1) | 316.199(/nb) |
|        |   [83-170], [175-176], |              |                        |                        |              |
|        |              [179-268] |              |                        |                        |              |
| 172635 |       [1-18], [24-70], |   9.486(/pb) | HLT_HT500_v8(720,1440) |         "L1_HTT100"(1) | 948.598(/nb) |
|        |   [83-170], [175-176], |              |                        |                        |              |
|        |              [179-268] |              |                        |                        |              |
| 172635 |       [1-18], [24-70], |   9.486(/pb) | HLT_HT550_v8(720,1440) |         "L1_HTT100"(1) |   9.486(/pb) |
|        |   [83-170], [175-176], |              |                        |                        |              |
|        |              [179-268] |              |                        |                        |              |
| 172635 |       [1-18], [24-70], |   9.486(/pb) | HLT_HT600_v1(720,1440) |         "L1_HTT100"(1) |   9.486(/pb) |
|        |   [83-170], [175-176], |              |                        |                        |              |
|        |              [179-268] |              |                        |                        |              |
| 172778 |                [48-96] |   1.987(/pb) | HLT_HT150_v8(720,1440) |       "L1_HTT50"(1,10) |  55.496(/ub) |
| 172778 |                [48-96] |   1.987(/pb) | HLT_HT200_v8(720,1440) |          "L1_HTT75"(1) |   1.380(/nb) |
| 172778 |                [48-96] |   1.987(/pb) | HLT_HT250_v8(720,1440) |         "L1_HTT100"(1) |   3.425(/nb) |
| 172778 |                [48-96] |   1.987(/pb) | HLT_HT300_v9(720,1440) |         "L1_HTT100"(1) |   6.622(/nb) |
| 172778 |                [48-96] |   1.987(/pb) | HLT_HT350_v8(720,1440) |         "L1_HTT100"(1) |   9.934(/nb) |
| 172778 |                [48-96] |   1.987(/pb) | HLT_HT400_v8(720,1440) |         "L1_HTT100"(1) |  19.867(/nb) |
| 172778 |                [48-96] |   1.987(/pb) | HLT_HT450_v8(720,1440) |         "L1_HTT100"(1) |  66.225(/nb) |
| 172778 |                [48-96] |   1.987(/pb) | HLT_HT500_v8(720,1440) |         "L1_HTT100"(1) | 198.675(/nb) |
| 172778 |                [48-96] |   1.987(/pb) | HLT_HT550_v8(720,1440) |         "L1_HTT100"(1) |   1.987(/pb) |
| 172778 |                [48-96] |   1.987(/pb) | HLT_HT600_v1(720,1440) |         "L1_HTT100"(1) |   1.987(/pb) |
| 172791 |   [65-413], [418-569], |  51.850(/pb) | HLT_HT150_v8(720,1440, |    "L1_HTT50"(1,10,30) |   1.790(/nb) |
|        | [571-715], [721-1295], |              |              210,1010) |                        |              |
|        |           [1300-1536], |              |                        |                        |              |
|        |           [1542-1645], |              |                        |                        |              |
|        |            [1649-1658] |              |                        |                        |              |
| 172791 |   [65-413], [418-569], |  51.850(/pb) | HLT_HT200_v8(720,1440, |       "L1_HTT75"(1,10) |  44.542(/nb) |
|        | [571-715], [721-1295], |              |              210,1010) |                        |              |
|        |           [1300-1536], |              |                        |                        |              |
|        |           [1542-1645], |              |                        |                        |              |
|        |            [1649-1658] |              |                        |                        |              |
| 172791 |   [65-413], [418-569], |  51.850(/pb) | HLT_HT250_v8(720,1440, |         "L1_HTT100"(1) | 110.096(/nb) |
|        | [571-715], [721-1295], |              |              210,1010) |                        |              |
|        |           [1300-1536], |              |                        |                        |              |
|        |           [1542-1645], |              |                        |                        |              |
|        |            [1649-1658] |              |                        |                        |              |
| 172791 |   [65-413], [418-569], |  51.850(/pb) | HLT_HT300_v9(720,1440, |         "L1_HTT100"(1) | 214.200(/nb) |
|        | [571-715], [721-1295], |              |              210,1010) |                        |              |
|        |           [1300-1536], |              |                        |                        |              |
|        |           [1542-1645], |              |                        |                        |              |
|        |            [1649-1658] |              |                        |                        |              |
| 172791 |   [65-413], [418-569], |  51.850(/pb) | HLT_HT350_v8(720,1440, |         "L1_HTT100"(1) | 321.300(/nb) |
|        | [571-715], [721-1295], |              |              210,1010) |                        |              |
|        |           [1300-1536], |              |                        |                        |              |
|        |           [1542-1645], |              |                        |                        |              |
|        |            [1649-1658] |              |                        |                        |              |
| 172791 |   [65-413], [418-569], |  51.850(/pb) | HLT_HT400_v8(720,1440, |         "L1_HTT100"(1) | 642.600(/nb) |
|        | [571-715], [721-1295], |              |              210,1010) |                        |              |
|        |           [1300-1536], |              |                        |                        |              |
|        |           [1542-1645], |              |                        |                        |              |
|        |            [1649-1658] |              |                        |                        |              |
| 172791 |   [65-413], [418-569], |  51.850(/pb) | HLT_HT450_v8(720,1440, |         "L1_HTT100"(1) |   2.211(/pb) |
|        | [571-715], [721-1295], |              |              210,1010) |                        |              |
|        |           [1300-1536], |              |                        |                        |              |
|        |           [1542-1645], |              |                        |                        |              |
|        |            [1649-1658] |              |                        |                        |              |
| 172791 |   [65-413], [418-569], |  51.850(/pb) | HLT_HT500_v8(720,1440, |         "L1_HTT100"(1) |   6.425(/pb) |
|        | [571-715], [721-1295], |              |              210,1010) |                        |              |
|        |           [1300-1536], |              |                        |                        |              |
|        |           [1542-1645], |              |                        |                        |              |
|        |            [1649-1658] |              |                        |                        |              |
| 172791 |   [65-413], [418-569], |  51.850(/pb) | HLT_HT550_v8(720,1440, |         "L1_HTT100"(1) |  51.850(/pb) |
|        | [571-715], [721-1295], |              |              210,1010) |                        |              |
|        |           [1300-1536], |              |                        |                        |              |
|        |           [1542-1645], |              |                        |                        |              |
|        |            [1649-1658] |              |                        |                        |              |
| 172791 |   [65-413], [418-569], |  51.850(/pb) | HLT_HT600_v1(720,1440, |         "L1_HTT100"(1) |  51.850(/pb) |
|        | [571-715], [721-1295], |              |              210,1010) |                        |              |
|        |           [1300-1536], |              |                        |                        |              |
|        |           [1542-1645], |              |                        |                        |              |
|        |            [1649-1658] |              |                        |                        |              |
| 172798 |                 [1-31] | 721.447(/nb) | HLT_HT150_v8(720,1440, |    "L1_HTT50"(1,10,30) |  28.743(/ub) |
|        |                        |              |              210,1010) |                        |              |
| 172798 |                 [1-31] | 721.447(/nb) | HLT_HT200_v8(720,1440, |       "L1_HTT75"(1,10) | 714.304(/ub) |
|        |                        |              |              210,1010) |                        |              |
| 172798 |                 [1-31] | 721.447(/nb) | HLT_HT250_v8(720,1440, |         "L1_HTT100"(1) |   1.760(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172798 |                 [1-31] | 721.447(/nb) | HLT_HT300_v9(720,1440, |         "L1_HTT100"(1) |   3.435(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172798 |                 [1-31] | 721.447(/nb) | HLT_HT350_v8(720,1440, |         "L1_HTT100"(1) |   5.153(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172798 |                 [1-31] | 721.447(/nb) | HLT_HT400_v8(720,1440, |         "L1_HTT100"(1) |  10.306(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172798 |                 [1-31] | 721.447(/nb) | HLT_HT450_v8(720,1440, |         "L1_HTT100"(1) |  36.072(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172798 |                 [1-31] | 721.447(/nb) | HLT_HT500_v8(720,1440, |         "L1_HTT100"(1) | 103.064(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172798 |                 [1-31] | 721.447(/nb) | HLT_HT550_v8(720,1440, |         "L1_HTT100"(1) | 721.447(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172798 |                 [1-31] | 721.447(/nb) | HLT_HT600_v1(720,1440, |         "L1_HTT100"(1) | 721.447(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172799 |                [1-366] |   8.914(/pb) | HLT_HT150_v8(720,1440, |    "L1_HTT50"(1,10,30) | 417.100(/ub) |
|        |                        |              |              210,1010) |                        |              |
| 172799 |                [1-366] |   8.914(/pb) | HLT_HT200_v8(720,1440, |       "L1_HTT75"(1,10) |  10.368(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172799 |                [1-366] |   8.914(/pb) | HLT_HT250_v8(720,1440, |         "L1_HTT100"(1) |  25.645(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172799 |                [1-366] |   8.914(/pb) | HLT_HT300_v9(720,1440, |         "L1_HTT100"(1) |  49.812(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172799 |                [1-366] |   8.914(/pb) | HLT_HT350_v8(720,1440, |         "L1_HTT100"(1) |  74.718(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172799 |                [1-366] |   8.914(/pb) | HLT_HT400_v8(720,1440, |         "L1_HTT100"(1) | 149.435(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172799 |                [1-366] |   8.914(/pb) | HLT_HT450_v8(720,1440, |         "L1_HTT100"(1) | 509.986(/nb) |
|        |                        |              |              210,1010) |                        |              |
| 172799 |                [1-366] |   8.914(/pb) | HLT_HT500_v8(720,1440, |         "L1_HTT100"(1) |   1.494(/pb) |
|        |                        |              |              210,1010) |                        |              |
| 172799 |                [1-366] |   8.914(/pb) | HLT_HT550_v8(720,1440, |         "L1_HTT100"(1) |   8.896(/pb) |
|        |                        |              |              210,1010) |                        |              |
| 172799 |                [1-366] |   8.914(/pb) | HLT_HT600_v1(720,1440, |         "L1_HTT100"(1) |   8.896(/pb) |
|        |                        |              |              210,1010) |                        |              |
| 172801 |    [1-679], [681-750], |  22.776(/pb) | HLT_HT150_v8(720,1440, |    "L1_HTT50"(1,10,30) |   1.272(/nb) |
|        |  [753-766], [768-815], |              |              210,1010) |                        |              |
|        |  [819-837], [839-861], |              |                        |                        |              |
|        |  [863-909], [911-1139] |              |                        |                        |              |
| 172801 |    [1-679], [681-750], |  22.776(/pb) | HLT_HT200_v8(720,1440, |       "L1_HTT75"(1,10) |  31.633(/nb) |
|        |  [753-766], [768-815], |              |              210,1010) |                        |              |
|        |  [819-837], [839-861], |              |                        |                        |              |
|        |  [863-909], [911-1139] |              |                        |                        |              |
| 172801 |    [1-679], [681-750], |  22.776(/pb) | HLT_HT250_v8(720,1440, |         "L1_HTT100"(1) |  78.537(/nb) |
|        |  [753-766], [768-815], |              |              210,1010) |                        |              |
|        |  [819-837], [839-861], |              |                        |                        |              |
|        |  [863-909], [911-1139] |              |                        |                        |              |
| 172801 |    [1-679], [681-750], |  22.776(/pb) | HLT_HT300_v9(720,1440, |         "L1_HTT100"(1) | 151.838(/nb) |
|        |  [753-766], [768-815], |              |              210,1010) |                        |              |
|        |  [819-837], [839-861], |              |                        |                        |              |
|        |  [863-909], [911-1139] |              |                        |                        |              |
| 172801 |    [1-679], [681-750], |  22.776(/pb) | HLT_HT350_v8(720,1440, |         "L1_HTT100"(1) | 227.757(/nb) |
|        |  [753-766], [768-815], |              |              210,1010) |                        |              |
|        |  [819-837], [839-861], |              |                        |                        |              |
|        |  [863-909], [911-1139] |              |                        |                        |              |
| 172801 |    [1-679], [681-750], |  22.776(/pb) | HLT_HT400_v8(720,1440, |         "L1_HTT100"(1) | 455.515(/nb) |
|        |  [753-766], [768-815], |              |              210,1010) |                        |              |
|        |  [819-837], [839-861], |              |                        |                        |              |
|        |  [863-909], [911-1139] |              |                        |                        |              |
| 172801 |    [1-679], [681-750], |  22.776(/pb) | HLT_HT450_v8(720,1440, |         "L1_HTT100"(1) |   1.518(/pb) |
|        |  [753-766], [768-815], |              |              210,1010) |                        |              |
|        |  [819-837], [839-861], |              |                        |                        |              |
|        |  [863-909], [911-1139] |              |                        |                        |              |
| 172801 |    [1-679], [681-750], |  22.776(/pb) | HLT_HT500_v8(720,1440, |         "L1_HTT100"(1) |   4.555(/pb) |
|        |  [753-766], [768-815], |              |              210,1010) |                        |              |
|        |  [819-837], [839-861], |              |                        |                        |              |
|        |  [863-909], [911-1139] |              |                        |                        |              |
| 172801 |    [1-679], [681-750], |  22.776(/pb) | HLT_HT550_v8(720,1440, |         "L1_HTT100"(1) |  22.776(/pb) |
|        |  [753-766], [768-815], |              |              210,1010) |                        |              |
|        |  [819-837], [839-861], |              |                        |                        |              |
|        |  [863-909], [911-1139] |              |                        |                        |              |
| 172801 |    [1-679], [681-750], |  22.776(/pb) | HLT_HT600_v1(720,1440, |         "L1_HTT100"(1) |  22.776(/pb) |
|        |  [753-766], [768-815], |              |              210,1010) |                        |              |
|        |  [819-837], [839-861], |              |                        |                        |              |
|        |  [863-909], [911-1139] |              |                        |                        |              |
| 172802 |     [1-629], [634-784] |  13.204(/pb) | HLT_HT150_v8(720,1440, |    "L1_HTT50"(1,10,30) | 924.156(/ub) |
|        |                        |              |          210,1010,510) |                        |              |
| 172802 |     [1-629], [634-784] |  13.204(/pb) | HLT_HT200_v8(720,1440, |       "L1_HTT75"(1,10) |  22.878(/nb) |
|        |                        |              |          210,1010,510) |                        |              |
| 172802 |     [1-629], [634-784] |  13.204(/pb) | HLT_HT250_v8(720,1440, |         "L1_HTT100"(1) |  55.957(/nb) |
|        |                        |              |          210,1010,510) |                        |              |
| 172802 |     [1-629], [634-784] |  13.204(/pb) | HLT_HT300_v9(720,1440, |         "L1_HTT100"(1) | 107.266(/nb) |
|        |                        |              |          210,1010,510) |                        |              |
| 172802 |     [1-629], [634-784] |  13.204(/pb) | HLT_HT350_v8(720,1440, |         "L1_HTT100"(1) | 166.054(/nb) |
|        |                        |              |          210,1010,510) |                        |              |
| 172802 |     [1-629], [634-784] |  13.204(/pb) | HLT_HT400_v8(720,1440, |         "L1_HTT100"(1) | 332.108(/nb) |
|        |                        |              |          210,1010,510) |                        |              |
