 ==  = 
|    Run |            SelectedLS |     Recorded |                HLTpath |                  L1bit |    Effective |
------------------------------------------------------------------------------------------------------------------
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT150_v8(850) |          "L1_HTT50"(1) |  10.024(/ub) |
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT200_v8(850) |          "L1_HTT75"(1) |   1.533(/nb) |
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT250_v8(850) |         "L1_HTT100"(1) |   3.723(/nb) |
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT300_v9(850) |         "L1_HTT100"(1) |   8.687(/nb) |
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT350_v8(850) |         "L1_HTT100"(1) |  18.616(/nb) |
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT400_v8(850) |         "L1_HTT100"(1) |  37.232(/nb) |
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT450_v8(850) |         "L1_HTT100"(1) |  86.874(/nb) |
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT500_v8(850) |         "L1_HTT100"(1) | 130.311(/nb) |
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT550_v8(850) |         "L1_HTT100"(1) | 162.889(/nb) |
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT600_v1(850) |         "L1_HTT100"(1) |   1.303(/pb) |
| 175860 |                [1-82] |   1.303(/pb) |      HLT_HT650_v1(850) |         "L1_HTT100"(1) |   1.303(/pb) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT150_v8(850) |          "L1_HTT50"(1) |   8.785(/ub) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT200_v8(850) |          "L1_HTT75"(1) |   1.344(/nb) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT250_v8(850) |         "L1_HTT100"(1) |   3.263(/nb) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT300_v9(850) |         "L1_HTT100"(1) |   7.614(/nb) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT350_v8(850) |         "L1_HTT100"(1) |  16.315(/nb) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT400_v8(850) |         "L1_HTT100"(1) |  32.630(/nb) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT450_v8(850) |         "L1_HTT100"(1) |  76.137(/nb) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT500_v8(850) |         "L1_HTT100"(1) | 114.205(/nb) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT550_v8(850) |         "L1_HTT100"(1) | 142.756(/nb) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT600_v1(850) |         "L1_HTT100"(1) |   1.142(/pb) |
| 175863 |                [1-75] |   1.142(/pb) |      HLT_HT650_v1(850) |         "L1_HTT100"(1) |   1.142(/pb) |
| 175865 |                [1-58] | 845.582(/nb) |      HLT_HT150_v8(850) |          "L1_HTT50"(1) |   6.504(/ub) |
| 175865 |                [1-58] | 845.582(/nb) |      HLT_HT200_v8(850) |          "L1_HTT75"(1) | 994.802(/ub) |
| 175865 |                [1-58] | 845.582(/nb) |      HLT_HT250_v8(850) |         "L1_HTT100"(1) |   2.416(/nb) |
| 175865 |                [1-58] | 845.582(/nb) |      HLT_HT300_v9(850) |         "L1_HTT100"(1) |   5.637(/nb) |
| 175865 |                [1-58] | 845.582(/nb) |      HLT_HT350_v8(850) |         "L1_HTT100"(1) |  12.080(/nb) |
