 ==  = 
|    Run |            SelectedLS |     Recorded |            HLTpath |          L1bit |    Effective |
------------------------------------------------------------------------------------------------------
| 160431 |              [19-218] |   7.322(/nb) |    HLT_HT160_v2(1) |  "L1_HTT50"(1) |   7.322(/nb) |
| 160431 |              [19-218] |   7.322(/nb) |    HLT_HT240_v2(1) |  "L1_HTT50"(1) |   7.322(/nb) |
| 160431 |              [19-218] |   7.322(/nb) |    HLT_HT260_v2(1) | "L1_HTT100"(1) |   7.322(/nb) |
| 160431 |              [19-218] |   7.322(/nb) |    HLT_HT300_v2(1) | "L1_HTT100"(1) |   7.322(/nb) |
| 160431 |              [19-218] |   7.322(/nb) |    HLT_HT360_v2(1) | "L1_HTT100"(1) |   7.322(/nb) |
| 160431 |              [19-218] |   7.322(/nb) |    HLT_HT440_v2(1) | "L1_HTT100"(1) |   7.322(/nb) |
| 160431 |              [19-218] |   7.322(/nb) |    HLT_HT520_v2(1) | "L1_HTT100"(1) |   7.322(/nb) |
| 160577 |             [254-306] |   1.623(/nb) |    HLT_HT160_v2(1) |  "L1_HTT50"(1) |   1.623(/nb) |
| 160577 |             [254-306] |   1.623(/nb) |    HLT_HT240_v2(1) |  "L1_HTT50"(1) |   1.623(/nb) |
| 160577 |             [254-306] |   1.623(/nb) |    HLT_HT260_v2(1) | "L1_HTT100"(1) |   1.623(/nb) |
| 160577 |             [254-306] |   1.623(/nb) |    HLT_HT300_v2(1) | "L1_HTT100"(1) |   1.623(/nb) |
| 160577 |             [254-306] |   1.623(/nb) |    HLT_HT360_v2(1) | "L1_HTT100"(1) |   1.623(/nb) |
| 160577 |             [254-306] |   1.623(/nb) |    HLT_HT440_v2(1) | "L1_HTT100"(1) |   1.623(/nb) |
| 160577 |             [254-306] |   1.623(/nb) |    HLT_HT520_v2(1) | "L1_HTT100"(1) |   1.623(/nb) |
| 160578 |     [6-53], [274-400] |   4.931(/nb) |    HLT_HT160_v2(1) |  "L1_HTT50"(1) |   4.931(/nb) |
| 160578 |     [6-53], [274-400] |   4.931(/nb) |    HLT_HT240_v2(1) |  "L1_HTT50"(1) |   4.931(/nb) |
| 160578 |     [6-53], [274-400] |   4.931(/nb) |    HLT_HT260_v2(1) | "L1_HTT100"(1) |   4.931(/nb) |
| 160578 |     [6-53], [274-400] |   4.931(/nb) |    HLT_HT300_v2(1) | "L1_HTT100"(1) |   4.931(/nb) |
| 160578 |     [6-53], [274-400] |   4.931(/nb) |    HLT_HT360_v2(1) | "L1_HTT100"(1) |   4.931(/nb) |
| 160578 |     [6-53], [274-400] |   4.931(/nb) |    HLT_HT440_v2(1) | "L1_HTT100"(1) |   4.931(/nb) |
| 160578 |     [6-53], [274-400] |   4.931(/nb) |    HLT_HT520_v2(1) | "L1_HTT100"(1) |   4.931(/nb) |
| 160871 |              [68-208] | 104.582(/nb) |    HLT_HT160_v2(1) |  "L1_HTT50"(1) |   5.229(/nb) |
| 160871 |              [68-208] | 104.582(/nb) |    HLT_HT240_v2(1) |  "L1_HTT50"(1) | 104.582(/nb) |
| 160871 |              [68-208] | 104.582(/nb) |    HLT_HT260_v2(1) | "L1_HTT100"(1) | 104.582(/nb) |
| 160871 |              [68-208] | 104.582(/nb) |    HLT_HT300_v2(1) | "L1_HTT100"(1) | 104.582(/nb) |
| 160871 |              [68-208] | 104.582(/nb) |    HLT_HT360_v2(1) | "L1_HTT100"(1) | 104.582(/nb) |
| 160871 |              [68-208] | 104.582(/nb) |    HLT_HT440_v2(1) | "L1_HTT100"(1) | 104.582(/nb) |
| 160871 |              [68-208] | 104.582(/nb) |    HLT_HT520_v2(1) | "L1_HTT100"(1) | 104.582(/nb) |
| 160872 |       [1-9], [25-35], |  23.604(/nb) |    HLT_HT160_v2(1) |  "L1_HTT50"(1) |   1.180(/nb) |
|        |               [38-55] |              |                    |                |              |
| 160872 |       [1-9], [25-35], |  23.604(/nb) |    HLT_HT240_v2(1) |  "L1_HTT50"(1) |  23.604(/nb) |
|        |               [38-55] |              |                    |                |              |
| 160872 |       [1-9], [25-35], |  23.604(/nb) |    HLT_HT260_v2(1) | "L1_HTT100"(1) |  23.604(/nb) |
|        |               [38-55] |              |                    |                |              |
| 160872 |       [1-9], [25-35], |  23.604(/nb) |    HLT_HT300_v2(1) | "L1_HTT100"(1) |  23.604(/nb) |
|        |               [38-55] |              |                    |                |              |
| 160872 |       [1-9], [25-35], |  23.604(/nb) |    HLT_HT360_v2(1) | "L1_HTT100"(1) |  23.604(/nb) |
|        |               [38-55] |              |                    |                |              |
| 160872 |       [1-9], [25-35], |  23.604(/nb) |    HLT_HT440_v2(1) | "L1_HTT100"(1) |  23.604(/nb) |
|        |               [38-55] |              |                    |                |              |
| 160872 |       [1-9], [25-35], |  23.604(/nb) |    HLT_HT520_v2(1) | "L1_HTT100"(1) |  23.604(/nb) |
|        |               [38-55] |              |                    |                |              |
| 160873 |               [1-147] | 101.536(/nb) |    HLT_HT160_v2(1) |  "L1_HTT50"(1) |   5.077(/nb) |
