 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
--------------------------------------------------------------------------------
| 175860 |           88 |   1.472 (/pb) |               [1-82] |   1.303 (/pb) |
| 175863 |           87 |   1.392 (/pb) |               [1-75] |   1.142 (/pb) |
| 175865 |           70 |   1.082 (/pb) |               [1-58] | 845.582 (/nb) |
| 175866 |          551 |   7.412 (/pb) |   [1-353], [356-511] |   7.028 (/pb) |
| 175872 |           97 |   2.337 (/pb) |              [60-90] |   1.282 (/pb) |
| 175873 |           37 |   1.622 (/pb) |               [1-32] |   1.246 (/pb) |
| 175874 |          118 |   4.923 (/pb) |     [1-33], [36-108] |   4.172 (/pb) |
| 175877 |           73 |   2.704 (/pb) |               [1-69] |   2.417 (/pb) |
| 175881 |          170 |   5.899 (/pb) |              [1-160] |   5.342 (/pb) |
| 175886 |          304 |   9.572 (/pb) |              [1-280] |   8.550 (/pb) |
| 175887 |          149 |   4.347 (/pb) |     [1-18], [21-138] |   3.819 (/pb) |
| 175888 |          459 |  11.677 (/pb) |              [1-424] |  11.155 (/pb) |
| 175906 |          208 |   8.943 (/pb) |             [79-191] |   5.616 (/pb) |
| 175910 |           38 | 434.012 (/nb) |               [1-12] | 274.939 (/nb) |
| 175921 |          453 |  20.984 (/pb) |             [64-428] |  19.369 (/pb) |
| 175973 |          275 |  16.504 (/pb) | [126-183], [186-268] |   8.078 (/pb) |
| 175974 |          130 |   7.091 (/pb) |              [1-124] |   6.562 (/pb) |
| 175975 |          396 |  19.408 (/pb) |      [1-8], [11-40], |  17.209 (/pb) |
|        |              |               |   [45-90], [93-101], |               |
|        |              |               |           [104-142], |               |
|        |              |               |           [145-164], |               |
|        |              |               |           [167-180], |               |
|        |              |               |           [185-210], |               |
|        |              |               |           [215-256], |               |
|        |              |               |           [259-262], |               |
|        |              |               | [265-272], [275-390] |               |
| 175976 |          132 |   4.342 (/pb) |     [1-33], [36-51], |   3.999 (/pb) |
|        |              |               |             [54-102] |               |
| 175990 |          169 |   7.044 (/pb) |             [56-164] |   6.184 (/pb) |
| 176023 |          140 |   6.291 (/pb) |             [44-129] |   5.363 (/pb) |
| 176161 |           36 |   2.340 (/pb) |      [6-7], [13-14], | 701.704 (/nb) |
|        |              |               |              [16-23] |               |
| 176163 |          102 |   6.364 (/pb) |        [1-4], [7-63] |   3.513 (/pb) |
| 176165 |           94 |   5.686 (/pb) |               [1-29] |   1.538 (/pb) |
| 176167 |           13 | 751.632 (/nb) |                [1-5] | 110.363 (/nb) |
| 176169 |          145 |   7.374 (/pb) |              [1-140] |   7.085 (/pb) |
| 176201 |          664 |  38.609 (/pb) |    [52-52], [54-55], |  31.116 (/pb) |
|        |              |               |    [58-58], [61-63], |               |
|        |              |               | [67-132], [134-139], |               |
|        |              |               |           [141-141], |               |
|        |              |               |           [143-143], |               |
|        |              |               |           [146-146], |               |
|        |              |               |           [194-198], |               |
|        |              |               |           [200-201], |               |
|        |              |               |           [203-203], |               |
|        |              |               |           [207-207], |               |
|        |              |               |           [213-213], |               |
|        |              |               |           [218-263], |               |
|        |              |               | [265-570], [573-656] |               |
| 176202 |          270 |  13.798 (/pb) |   [1-179], [182-264] |  13.075 (/pb) |
| 176206 |          107 |   5.057 (/pb) |              [1-101] |   4.296 (/pb) |
| 176207 |          245 |  10.122 (/pb) |              [1-230] |   9.917 (/pb) |
| 176286 |          496 |  28.691 (/pb) | [55-224], [226-247], |  26.015 (/pb) |
|        |              |               | [250-252], [254-486] |               |
| 176289 |           82 |   3.784 (/pb) |      [1-43], [46-75] |   3.510 (/pb) |
| 176304 |          617 |  35.447 (/pb) |    [69-69], [73-73], |  23.651 (/pb) |
|        |              |               |   [77-77], [79-132], |               |
|        |              |               |           [135-161], |               |
|        |              |               |           [163-164], |               |
|        |              |               |           [166-166], |               |
|        |              |               |           [168-171], |               |
|        |              |               |           [174-174], |               |
|        |              |               |           [176-179], |               |
|        |              |               |           [181-182], |               |
|        |              |               |           [184-185], |               |
|        |              |               |           [187-190], |               |
|        |              |               |           [192-193], |               |
|        |              |               |           [197-202], |               |
|        |              |               |           [204-206], |               |
|        |              |               |           [208-211], |               |
|        |              |               |           [213-213], |               |
|        |              |               |           [216-218], |               |
|        |              |               |           [221-229], |               |
|        |              |               |           [231-231], |               |
|        |              |               |           [233-235], |               |
|        |              |               |           [238-240], |               |
|        |              |               |           [243-247], |               |
|        |              |               |           [249-249], |               |
|        |              |               |           [251-253], |               |
|        |              |               |           [256-264], |               |
|        |              |               |           [266-285], |               |
|        |              |               |           [287-287], |               |
|        |              |               |           [289-289], |               |
|        |              |               |           [291-293], |               |
|        |              |               |           [295-299], |               |
|        |              |               |           [301-301], |               |
|        |              |               |           [303-304], |               |
|        |              |               |           [307-312], |               |
|        |              |               |           [315-316], |               |
|        |              |               |           [318-319], |               |
|        |              |               |           [323-330], |               |
|        |              |               |           [332-349], |               |
|        |              |               |           [351-373], |               |
|        |              |               |           [375-379], |               |
|        |              |               |           [381-387], |               |
|        |              |               |           [389-395], |               |
|        |              |               |           [397-415], |               |
|        |              |               |           [417-422], |               |
|        |              |               |           [425-431], |               |
|        |              |               |           [433-433], |               |
|        |              |               |           [435-438], |               |
|        |              |               |           [440-443], |               |
|        |              |               |           [445-446], |               |
|        |              |               |           [448-451], |               |
|        |              |               |           [453-456], |               |
|        |              |               |           [458-500], |               |
|        |              |               | [502-502], [504-516] |               |
| 176308 |          307 |  16.217 (/pb) |    [1-45], [48-130], |  14.954 (/pb) |
|        |              |               |            [133-293] |               |
| 176309 |         1714 |  64.352 (/pb) |    [1-84], [87-122], |  60.914 (/pb) |
|        |              |               |           [125-354], |               |
|        |              |               |           [356-467], |               |
|        |              |               |           [470-512], |               |
|        |              |               |           [514-627], |               |
|        |              |               |          [630-1177], |               |
|        |              |               |          [1180-1641] |               |
| 176467 |          176 |  10.088 (/pb) |     [1-85], [88-164] |   8.988 (/pb) |
| 176468 |          217 |  11.658 (/pb) |   [1-124], [126-210] |  10.865 (/pb) |
| 176469 |          204 |  10.171 (/pb) |                [1-5] | 120.880 (/nb) |
| 176545 |           31 |   2.054 (/pb) |                [5-5] |  16.034 (/nb) |
| 176547 |          194 |  12.333 (/pb) |  [1-151], [154-172], |  11.007 (/pb) |
|        |              |               |            [175-184] |               |
| 176548 |         1034 |  51.957 (/pb) |    [1-72], [75-387], |  49.965 (/pb) |
|        |              |               |           [390-487], |               |
|        |              |               |           [489-494], |               |
|        |              |               |           [496-575], |               |
|        |              |               |           [577-1024] |               |
| 176697 |          346 |  21.240 (/pb) |    [50-66], [68-344] |  19.136 (/pb) |
| 176701 |          153 |   8.990 (/pb) |              [1-145] |   8.219 (/pb) |
| 176702 |          962 |  45.613 (/pb) |       [1-4], [6-42], |  38.274 (/pb) |
|        |              |               | [45-103], [105-284], |               |
|        |              |               |           [287-291], |               |
|        |              |               |           [294-351], |               |
|        |              |               |           [353-599], |               |
|        |              |               |           [622-684], |               |
|        |              |               |           [686-723], |               |
|        |              |               |           [726-794], |               |
|        |              |               | [796-799], [801-839] |               |
| 176765 |          146 |   5.465 (/pb) |             [84-141] |   2.642 (/pb) |
| 176771 |          177 |   8.011 (/pb) |    [57-60], [62-156] |   5.563 (/pb) |
| 176795 |          113 |   7.052 (/pb) |             [38-105] |   4.200 (/pb) |
| 176796 |          114 |   7.488 (/pb) |     [1-24], [31-100] |   5.816 (/pb) |
| 176797 |          274 |  16.041 (/pb) |     [1-26], [33-89], |  12.793 (/pb) |
|        |              |               | [95-131], [136-196], |               |
|        |              |               | [203-237], [244-252] |               |
| 176799 |          246 |  12.506 (/pb) |     [1-27], [30-35], |  11.143 (/pb) |
|        |              |               |             [38-238] |               |
| 176801 |          303 |  13.185 (/pb) |    [1-92], [95-173], |  10.416 (/pb) |
|        |              |               | [176-177], [179-249] |               |
| 176805 |          113 |   4.627 (/pb) |               [1-97] |   3.805 (/pb) |
| 176807 |          466 |  17.173 (/pb) |    [1-74], [76-255], |  16.798 (/pb) |
|        |              |               |            [257-461] |               |
| 176841 |          256 |  12.854 (/pb) |           [105-157], |   5.406 (/pb) |
|        |              |               |           [159-182], |               |
|        |              |               | [184-235], [238-241] |               |
| 176844 |          119 |   6.043 (/pb) |              [1-110] |   4.988 (/pb) |
| 176848 |           41 |   2.010 (/pb) |               [1-25] |   1.058 (/pb) |
| 176850 |          310 |  14.156 (/pb) |     [1-29], [32-301] |  13.249 (/pb) |
| 176860 |          474 |  18.822 (/pb) |    [1-78], [81-271], |  17.267 (/pb) |
|        |              |               | [273-335], [338-450] |               |
| 176868 |          505 |  16.862 (/pb) |              [1-495] |  16.591 (/pb) |
| 176885 |          242 |  12.305 (/pb) |  [67-152], [164-235] |   9.584 (/pb) |
| 176886 |          722 |  36.724 (/pb) |  [1-335], [337-416], |  32.970 (/pb) |
|        |              |               |           [418-425], |               |
|        |              |               |           [427-429], |               |
|        |              |               |           [431-499], |               |
|        |              |               |           [502-503], |               |
|        |              |               |           [505-505], |               |
|        |              |               |           [507-507], |               |
|        |              |               | [509-514], [516-678] |               |
