 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
--------------------------------------------------------------------------------
| 160431 |          200 |   6.658 (/nb) |             [19-218] |   0.000 (/ub) |
| 160577 |           53 |   1.549 (/nb) |            [254-306] |   1.469 (/nb) |
| 160578 |          175 |   4.675 (/nb) |    [6-53], [274-400] |   4.451 (/nb) |
| 160871 |          141 | 101.585 (/nb) |             [68-208] |  98.453 (/nb) |
| 160872 |           38 |  26.184 (/nb) |      [1-9], [25-35], |  22.147 (/nb) |
|        |              |               |              [38-55] |               |
| 160873 |          147 |  96.705 (/nb) |              [1-147] |  94.969 (/nb) |
| 160874 |           68 |  41.870 (/nb) |     [1-51], [97-113] |  39.127 (/nb) |
| 160939 |          123 | 142.258 (/nb) |              [1-123] | 139.050 (/nb) |
| 160940 |           79 |  87.719 (/nb) |               [1-79] |  84.718 (/nb) |
| 160955 |          197 | 645.496 (/nb) |  [1-130], [133-138], | 392.795 (/nb) |
|        |              |               |           [140-151], |               |
|        |              |               |           [153-154], |               |
|        |              |               |           [156-172], |               |
|        |              |               | [175-201], [204-206] |               |
| 160956 |           64 | 195.240 (/nb) |               [2-65] | 187.500 (/nb) |
| 160957 |          712 |   1.802 (/pb) |     [1-10], [15-23], |   1.725 (/pb) |
|        |              |               |    [36-41], [61-63], |               |
|        |              |               |  [91-93], [106-129], |               |
|        |              |               |           [158-161], |               |
|        |              |               |           [166-185], |               |
|        |              |               |           [198-205], |               |
|        |              |               |           [210-245], |               |
|        |              |               |           [250-257], |               |
|        |              |               |           [274-281], |               |
|        |              |               |           [286-840], |               |
|        |              |               |           [862-864], |               |
|        |              |               |           [892-894], |               |
|        |              |               |           [922-924], |               |
|        |              |               | [937-942], [946-948] |               |
| 160998 |          195 | 498.098 (/nb) |     [2-13], [26-41], | 488.660 (/nb) |
|        |              |               |    [50-57], [86-93], |               |
|        |              |               |            [102-252] |               |
| 161008 |           77 | 184.391 (/nb) |               [1-77] | 179.481 (/nb) |
| 161016 |          148 | 317.897 (/nb) |     [2-61], [67-94], | 312.917 (/nb) |
|        |              |               | [98-106], [128-154], |               |
|        |              |               |            [161-184] |               |
| 162803 |           70 | 367.596 (/nb) |  [60-124], [135-139] | 355.304 (/nb) |
